,Title,Published_date,Views,Likes,Length,Link,,,,
144,SDE Preparation in 3 hours,05-04-2023,3181,154,0 days 02:55:27,https://www.youtube.com/watch?v=ftDoBLp-OfU,,,,
146,Ernie vs ChatGPT | GeeksforGeeks,05-04-2023,1019,33,0 days 00:01:32,https://www.youtube.com/watch?v=iM-EpJHn59Q,,,,
145,GATE: Unlocking Opportunities in Tech | Ribhu Mukherjee,05-04-2023,1267,56,0 days 01:02:49,https://www.youtube.com/watch?v=L7USgQl9w3Y,,,,
143,GATE Journey of the Toppers | Puneet Kansal,06-04-2023,871,27,0 days 01:04:16,https://www.youtube.com/watch?v=T8jLFGA3yC0,,,,
141,Android Development: Building Apps that Change Lives | Saumya Singh,07-04-2023,4765,243,0 days 01:01:27,https://www.youtube.com/watch?v=Z6uYHi6Rw6Y,,,,
142,Top 10 DSA Topics | Master these To Ace In Your Career | GeeksforGeeks,07-04-2023,2440,129,0 days 00:05:38,https://www.youtube.com/watch?v=t8aN8nczZlA,,,,
140,World's First Virtual Game | @thegeekmonk1707 | GeeksforGeeks,12-04-2023,2577,125,0 days 00:01:00,https://www.youtube.com/watch?v=isPzwR7VVGk,,,,
139,Upgrade with skills that really matters | GeeksforGeeks,13-04-2023,9414,107,0 days 00:00:24,https://www.youtube.com/watch?v=_asFvyNPNbg,,,,
138,Create Your Own Apps Today | GeeksforGeeks,17-04-2023,34913,89,0 days 00:00:38,https://www.youtube.com/watch?v=LycNCWC3g18,,,,
137,Presenting: GeeksforGeeks Author Badges | Honoring the Writer in You!,18-04-2023,1105,32,0 days 00:00:56,https://www.youtube.com/watch?v=kW9BohViP04,,,,
136,Start your writing Journey | Geek Author Badges | GeeksforGeeks,19-04-2023,1262,32,0 days 00:01:12,https://www.youtube.com/watch?v=ISPOKldx90E,,,,
135,*Packs bag and goes home 🥲*,21-04-2023,3198,66,0 days 00:00:08,https://www.youtube.com/watch?v=afyHTWJK0ec,,,,
134,Prompt Engineering | @thegeekmonk1707 | GeeksforGeeks,24-04-2023,1833,78,0 days 00:01:01,https://www.youtube.com/watch?v=q-qkQfAMHGw,,,,
133,Tech Jobs without Degree | GeeksforGeeks,25-04-2023,1373,57,0 days 00:02:03,https://www.youtube.com/watch?v=5jHvfzt8Ors,,,,
132,Hire Best Talent with GeeksforGeeks,26-04-2023,14239,25,0 days 00:00:54,https://www.youtube.com/watch?v=xifGlf39ahQ,,,,
131,Special Rewards In #100 (Link in Comments),27-04-2023,3707,68,0 days 00:00:17,https://www.youtube.com/watch?v=NNbS2iPZVBw,,,,
130,"Flutter: ""Pros and Cons"" | GeeksforGeeks",28-04-2023,2658,62,0 days 00:08:44,https://www.youtube.com/watch?v=0gnaXUiSELY,,,,
129,Caution : 100% Relatable,29-04-2023,5859,277,0 days 00:00:25,https://www.youtube.com/watch?v=0NoD0Y_mAy4,,,,
128,3 Quick Tips!,30-04-2023,4128,369,0 days 00:00:32,https://www.youtube.com/watch?v=FT_HqsKy3cQ,,,,
127,Job Fair for Students | Till 25th May Only | GeeksforGeeks,02-05-2023,82851,78,0 days 00:00:39,https://www.youtube.com/watch?v=1GEegOb3fHE,,,,
126,Jobs that AI can't replace | GeeksforGeeks,02-05-2023,3107,80,0 days 00:03:17,https://www.youtube.com/watch?v=uY05MFnSMwU,,,,
125,Transformers in NLP | GeeksforGeeks,04-05-2023,2175,61,0 days 00:28:45,https://www.youtube.com/watch?v=-eqjV5dwb9Q,,,,
124,😮😮😮😮,05-05-2023,7381,313,0 days 00:00:04,https://www.youtube.com/watch?v=eTDvnIsDobg,,,,
123,Legends say they are still running...,06-05-2023,6472,235,0 days 00:00:15,https://www.youtube.com/watch?v=AAJ0X2VxVWg,,,,
122,GeeksforGeeks Classroom Program | Now in Noida and Gurugram!,08-05-2023,108465,92,0 days 00:00:38,https://www.youtube.com/watch?v=16D2cuRy5JY,,,,
121,React VS Angular VS Vue | GeeksforGeeks,10-05-2023,3005,87,0 days 00:01:35,https://www.youtube.com/watch?v=sA2vgFR-fZc,,,,
120,Best Apps to Boost your Productivity,12-05-2023,2592,210,0 days 00:01:01,https://www.youtube.com/watch?v=NaqJ6iMohHY,,,,
119,Your First Step into 🥇 Competitive Programming 🥇 | No DSA Prerequisite | GeeksforGeeks,13-05-2023,3393,197,0 days 01:14:02,https://www.youtube.com/watch?v=_HG3ScXAdf0,,,,
